[2026-01-04 22:25:05] [INFO    ] discord.client: logging in using static token
[2026-01-04 22:25:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Bookboysbot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1457513263209124069', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8406', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '90999eab358c6a9a912dcde6e49d76a2', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1457587878946279549'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'us-south', 'oregon', 'seattle'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1457513263209124069', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-9t1v",{"micros":71489,"calls":["id_created",{"micros":489,"calls":[]},"session_lookup_time",{"micros":1523,"calls":[]},"session_lookup_finished",{"micros":18,"calls":[]},"discord-sessions-prd-2-129",{"micros":68133,"calls":["start_session",{"micros":64074,"calls":["discord-api-rpc-685f5fd59d-4rrdx",{"micros":36065,"calls":["get_user",{"micros":5186},"get_guilds",{"micros":4540},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":19},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":375},"apex_experiments",{"micros":21625},"user_activities",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":54,"calls":[]},"presence_started",{"micros":307,"calls":[]},"guilds_started",{"micros":79,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":3596,"calls":[]},"connect_finished",{"micros":3604,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-01-04 22:25:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:06] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 90999eab358c6a9a912dcde6e49d76a2).
[2026-01-04 22:25:06] [DEBUG   ] discord.client: Dispatching event connect
[2026-01-04 22:25:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'owner_id': '100049013096603648', 'stickers': [], 'max_video_channel_users': 25, 'guild_scheduled_events': [], 'discovery_splash': None, 'max_members': 25000000, 'unavailable': False, 'max_stage_video_channel_users': 50, 'owner_configured_content_level': 0, 'profile': None, 'default_message_notifications': 0, 'preferred_locale': 'en-US', 'nsfw': False, 'soundboard_sounds': [], 'members': [{'user': {'username': 'Bookboysbot', 'public_flags': 0, 'primary_guild': None, 'id': '1457513263209124069', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8406', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1457588066452770901'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:14:35.740101+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'incidents_data': None, 'nsfw_level': 0, 'premium_subscription_count': 0, 'premium_progress_bar_enabled': False, 'home_header': None, 'id': '1457587878946279549', 'name': 'InfiniteAnchor test server', 'system_channel_flags': 0, 'safety_alerts_channel_id': None, 'lazy': True, 'stage_instances': [], 'features': [], 'emojis': [], 'threads': [], 'verification_level': 0, 'premium_features': None, 'splash': None, 'moderator_reporting': None, 'description': None, 'banner': None, 'explicit_content_filter': 0, 'afk_timeout': 300, 'application_command_counts': {}, 'activity_instances': [], 'mfa_level': 0, 'premium_tier': 0, 'system_channel_id': '1457587879915032702', 'embedded_activities': [], 'voice_states': [], 'latest_onboarding_question_id': None, 'afk_channel_id': None, 'region': 'deprecated', 'presences': [], 'icon': None, 'roles': [{'version': 1767586431232, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1457587878946279549', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1767586475723, 'unicode_emoji': None, 'tags': {'bot_id': '1457513263209124069'}, 'position': 1, 'permissions': '580877415869520', 'name': 'Bookboysbot', 'mentionable': False, 'managed': True, 'id': '1457588066452770901', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'large': False, 'version': 1767586431273, 'inventory_settings': None, 'public_updates_channel_id': None, 'hub_type': None, 'rules_channel_id': None, 'joined_at': '2026-01-05T04:14:35.740101+00:00', 'channels': [{'version': 1767586431249, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1457587879915032700', 'flags': 0}, {'version': 1767586431252, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1457587879915032701', 'flags': 0}, {'version': 1767586431259, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1457587879915032700', 'name': 'general', 'last_message_id': '1457602424909860951', 'id': '1457587879915032702', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1767586431268, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1457587879915032701', 'name': 'General', 'last_message_id': None, 'id': '1457587879915032703', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'application_id': None, 'member_count': 2, 'vanity_url_code': None}}
[2026-01-04 22:25:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '9932537350f9311464fc6ba20f17816a', 'members': [{'user': {'username': 'infiniteanchor', 'public_flags': 0, 'primary_guild': None, 'id': '100049013096603648', 'global_name': 'infiniteAnchor', 'display_name_styles': None, 'display_name': 'infiniteAnchor', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bed6b5b588f9133fcba50ae0154ca099'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:13:51.089000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Bookboysbot', 'public_flags': 0, 'primary_guild': None, 'id': '1457513263209124069', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8406', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1457588066452770901'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:14:35.740101+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1457587878946279549', 'chunk_index': 0, 'chunk_count': 1}}
[2026-01-04 22:25:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:06] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1457587878946279549.
[2026-01-04 22:25:08] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-01-04 22:25:08] [DEBUG   ] discord.client: Dispatching event ready
[2026-01-04 22:25:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '100049013096603648', 'timestamp': 1767590716, 'member': {'user': {'username': 'infiniteanchor', 'public_flags': 0, 'primary_guild': None, 'id': '100049013096603648', 'global_name': 'infiniteAnchor', 'display_name_styles': None, 'display_name': 'infiniteAnchor', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bed6b5b588f9133fcba50ae0154ca099'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:13:51.089000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1457587879915032702', 'guild_id': '1457587878946279549'}}
[2026-01-04 22:25:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:13] [DEBUG   ] discord.client: Dispatching event typing
[2026-01-04 22:25:13] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-01-04 22:25:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-05T05:25:20.054000+00:00', 'pinned': False, 'nonce': '1457605856764887040', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:13:51.089000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1457605868484038779', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!finish', 'components': [], 'channel_type': 0, 'channel_id': '1457587879915032702', 'author': {'username': 'infiniteanchor', 'public_flags': 0, 'primary_guild': None, 'id': '100049013096603648', 'global_name': 'infiniteAnchor', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'bed6b5b588f9133fcba50ae0154ca099'}, 'attachments': [], 'guild_id': '1457587878946279549'}}
[2026-01-04 22:25:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:17] [DEBUG   ] discord.client: Dispatching event message
[2026-01-04 22:25:17] [DEBUG   ] discord.client: Dispatching event command
[2026-01-04 22:25:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-05T05:25:20.276000+00:00', 'pinned': False, 'nonce': '5053210103287392087', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457588066452770901'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:14:35.740101+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1457605869415174194', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '🎉 Finished: **red rising**', 'components': [], 'channel_type': 0, 'channel_id': '1457587879915032702', 'author': {'username': 'Bookboysbot', 'public_flags': 0, 'primary_guild': None, 'id': '1457513263209124069', 'global_name': None, 'display_name_styles': None, 'discriminator': '8406', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1457587878946279549'}}
[2026-01-04 22:25:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:17] [DEBUG   ] discord.client: Dispatching event message
[2026-01-04 22:25:17] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1457587879915032702/messages with {"content":"\ud83c\udf89 Finished: **red rising**","components":[],"nonce":"5053210103287392087","enforce_nonce":true,"tts":false} has returned 200
[2026-01-04 22:25:17] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2026-01-04 22:25:17] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1457587879915032702/messages has received {'type': 0, 'content': '🎉 Finished: **red rising**', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-01-05T05:25:20.276000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1457605869415174194', 'channel_id': '1457587879915032702', 'author': {'id': '1457513263209124069', 'username': 'Bookboysbot', 'avatar': None, 'discriminator': '8406', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '5053210103287392087'}
[2026-01-04 22:25:17] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-01-04 22:25:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 7, 'op': 0, 'd': {'user_id': '100049013096603648', 'timestamp': 1767590724, 'member': {'user': {'username': 'infiniteanchor', 'public_flags': 0, 'primary_guild': None, 'id': '100049013096603648', 'global_name': 'infiniteAnchor', 'display_name_styles': None, 'display_name': 'infiniteAnchor', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bed6b5b588f9133fcba50ae0154ca099'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:13:51.089000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1457587879915032702', 'guild_id': '1457587878946279549'}}
[2026-01-04 22:25:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:21] [DEBUG   ] discord.client: Dispatching event typing
[2026-01-04 22:25:21] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-01-04 22:25:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-05T05:25:25.221000+00:00', 'pinned': False, 'nonce': '1457605878705291264', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:13:51.089000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1457605890155741378', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!progress 100', 'components': [], 'channel_type': 0, 'channel_id': '1457587879915032702', 'author': {'username': 'infiniteanchor', 'public_flags': 0, 'primary_guild': None, 'id': '100049013096603648', 'global_name': 'infiniteAnchor', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'bed6b5b588f9133fcba50ae0154ca099'}, 'attachments': [], 'guild_id': '1457587878946279549'}}
[2026-01-04 22:25:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:22] [DEBUG   ] discord.client: Dispatching event message
[2026-01-04 22:25:22] [DEBUG   ] discord.client: Dispatching event command
[2026-01-04 22:25:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-05T05:25:25.405000+00:00', 'pinned': False, 'nonce': '14441229629364561815', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457588066452770901'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T04:14:35.740101+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1457605890927493253', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'You don’t have an active book yet. Use `!startbook <title>` first.', 'components': [], 'channel_type': 0, 'channel_id': '1457587879915032702', 'author': {'username': 'Bookboysbot', 'public_flags': 0, 'primary_guild': None, 'id': '1457513263209124069', 'global_name': None, 'display_name_styles': None, 'discriminator': '8406', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1457587878946279549'}}
[2026-01-04 22:25:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-04 22:25:22] [DEBUG   ] discord.client: Dispatching event message
[2026-01-04 22:25:22] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1457587879915032702/messages with {"content":"You don\u2019t have an active book yet. Use `!startbook <title>` first.","components":[],"nonce":"14441229629364561815","enforce_nonce":true,"tts":false} has returned 200
[2026-01-04 22:25:22] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1457587879915032702/messages has received {'type': 0, 'content': 'You don’t have an active book yet. Use `!startbook <title>` first.', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-01-05T05:25:25.405000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1457605890927493253', 'channel_id': '1457587879915032702', 'author': {'id': '1457513263209124069', 'username': 'Bookboysbot', 'avatar': None, 'discriminator': '8406', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14441229629364561815'}
[2026-01-04 22:25:22] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-01-04 22:25:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:25:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:26:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:26:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:27:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:27:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:27:51] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:27:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:28:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:28:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:29:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:29:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:29:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:29:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:30:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:30:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:31:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:31:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:31:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:31:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:32:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:32:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:33:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:33:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:34:02] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:34:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:34:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:34:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:35:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:35:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:36:06] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:36:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:36:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:36:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:37:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:37:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:38:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:38:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:38:51] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:38:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:39:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:39:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:40:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:40:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:40:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:40:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:41:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:41:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:42:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:42:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:42:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:42:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-04 22:43:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2026-01-04 22:43:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
